"filename","run_id","C","sigma","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"AS",1,8,0.0492386619224915,0.635277209098029,18.6286880835543,1.64394717167201,2.8987548536857,0.660689628027989,17.7963639672179,1.70437842043101,3.09051894540445,-1.2897233391109,0.655372687850058,0.804442935643083,387.324912309647
"AS",2,4,0.048427179208962,0.636452463065293,18.420699596884,1.65010696969354,2.93148475257337,0.656819938634057,18.2056061788197,1.69471911597139,3.02104744328628,-1.78668773545856,0.651432982716389,0.7991255134927,373.460287809372
"AS",3,4,0.0492067397182224,0.637367386648969,18.4862301362241,1.65046319325077,2.92109313808584,0.650432817122089,18.2097252968628,1.68011106535357,3.00663514179603,-2.00344897138205,0.645345265153502,0.791503014758926,347.661058425903
"AS",4,8,0.0485975190074452,0.630855691555399,18.8169771823714,1.6328306593768,2.92289242139947,0.635019893466701,18.2608335364581,1.6478010202159,2.90238667879999,-0.521956150771282,0.631300786022718,0.787114811534873,328.039796352386
"AS",5,8,0.0482202565099342,0.644859834981986,17.9942475561987,1.66621739684103,2.94538573143851,0.642903028554141,18.9934315780695,1.67243601690776,3.15898681885784,-0.907847079933988,0.642082673281385,0.782597250266726,367.980899810791
"AS",6,8,0.0516591854766801,0.656519864657834,18.0836788828055,1.69644328264532,2.98611805429396,0.642582671011443,18.2951619762644,1.65120191788456,2.89694073595853,-1.01861024378715,0.632818004453377,0.796152435521249,390.472803115845
"AS",7,8,0.0472579167616971,0.641428684788141,18.5776547657963,1.65795540567466,2.96054591892092,0.634472876475651,18.1984555105021,1.64158686340238,2.89859762931852,0.249879258474074,0.628504112489391,0.789257488342141,335.605176210403
"AS",8,8,0.0455639591795425,0.639262097266159,18.5517137745927,1.65347039086904,2.91078229516213,0.62869426126793,18.5856987161205,1.62560101641732,2.85165496382602,-1.73483469914595,0.621161749569461,0.782201729309828,395.03514957428
"AS",9,8,0.049154427331018,0.634458003574576,18.6001147702862,1.64340130165078,2.90320789236556,0.655470149923071,17.9200388156391,1.7002910997388,3.12499323110438,-0.218741625897644,0.653713800839365,0.79914751511769,365.243456602097
"AS",10,4,0.0461943132742832,0.629612903425868,18.6485827463334,1.63382137054811,2.89566240687203,0.658414532168996,18.0229176337351,1.70264651598124,3.05167016338418,-1.87605279476815,0.65467123264044,0.792496322180314,352.802229881287
"AS",11,4,0.0485782276991282,0.646845085710372,18.3612131297666,1.6750414702205,2.99544477869144,0.623358950376378,18.5456433006931,1.6184684005972,2.84433379552968,-0.73690616731848,0.617815299539352,0.780340014511797,405.731594324112
"AS",12,8,0.0491464358641551,0.632603920176937,18.6566368258542,1.63941179540934,2.89441234795155,0.667869519019003,17.7245181610588,1.71613737236626,3.10304627184938,-2.52230981901042,0.660079271804372,0.802933226330604,377.303543806076
"AS",13,8,0.048068659812456,0.656765252946562,18.0756811512867,1.69597814616291,2.98743928641141,0.605274719791644,19.1188899959755,1.581768850487,2.82443175369318,-1.2244531845735,0.599874979904819,0.765470243902409,356.569888591766
"AS",14,8,0.0477329801427139,0.635937020576199,18.5347349498673,1.64514856554875,2.91344872996884,0.648588151747182,18.3069617368386,1.67386380486212,2.89507351148004,-1.42900755335096,0.642693012180729,0.796139840927256,359.620141029358
"AS",15,8,0.0520670283209417,0.654466004032368,18.1743169242583,1.6930560589369,3.02624853683433,0.647832165202648,17.8890015175173,1.67400238364025,2.79501345846714,0.173443884998021,0.642752167552035,0.79785289991982,377.889168739319
"AS",16,8,0.0476157966047737,0.645676301194545,18.3548989207008,1.66869787788447,2.99647523190502,0.619346530405149,18.8549671563056,1.60834225089776,2.81093038034147,-1.2143220443063,0.612987667277433,0.776839277841711,378.198616981506
"AS",17,8,0.047948804253157,0.632360143419993,18.6553249968005,1.63726008726377,2.94821987874416,0.670558598741588,17.601960839452,1.73188632768035,3.06784002603662,-0.857922256459843,0.666233319730022,0.811668064682518,400.753650188446
"AS",18,8,0.0500072491108597,0.658926672059918,17.8788088786397,1.7027885638865,3.02033543546154,0.641064746774842,18.6600303536834,1.64619619514645,2.89388596784039,-2.75450133616626,0.630581569009319,0.786534266852176,353.549757480621
"AS",19,8,0.0476069044108453,0.633370834539886,18.7565066864478,1.63985494525294,2.87900091966576,0.658071763137097,17.6661950560065,1.69857612929508,3.05668537162675,-0.357701660955799,0.653014190868825,0.804721606103617,375.117739439011
"AS",20,8,0.050109380083291,0.623831977187155,18.9569220184875,1.61717401271075,2.90131488362731,0.659289526049719,17.7906089614364,1.70054029461827,2.97909982254598,-1.73916370694669,0.653815282027811,0.801083916546498,374.183309555054
"AS",21,4,0.0476132178045518,0.646473290540431,18.2880592033717,1.6734067056498,2.95274634664592,0.638758622200409,18.4015304216683,1.64993182296162,2.92095270166811,-2.44670610487882,0.63225248352812,0.77600987776626,370.073206424713
"AS",22,8,0.0492435694449454,0.646198011933736,18.3226682383292,1.67074197129556,2.94716900931697,0.634490258020073,18.55534445676,1.6362098198989,2.89673954182069,-2.31931239347761,0.626058421505656,0.783098313334324,374.4651222229
"AS",23,8,0.0498123243604624,0.63623461885273,18.5689745540254,1.64467109643019,2.90807657918265,0.634557378832162,18.6890531192915,1.63108684093111,2.83588471078245,-1.786180977141,0.623705753043245,0.788907969366353,370.201498508453
"AS",24,8,0.048652754835365,0.637562109347448,18.5693808056983,1.64929060383571,2.96186504954018,0.626091662789388,18.7310059825383,1.61825112206071,2.88292043952902,-1.14046596941033,0.617712662679012,0.783592680723183,406.087293148041
"AS",25,8,0.0470390179205158,0.635834693640456,18.4872302289749,1.64593632493726,2.9209351174394,0.633628935184766,18.7424899590708,1.64288487470311,2.88115400450652,-0.896351484792328,0.629090903903521,0.786204015370073,437.388564348221
"AS",26,8,0.0482766497833994,0.625361305296814,18.6909232767349,1.62136661435144,2.83560096070644,0.67449536572086,17.8526021638101,1.73991999780453,3.13679762121851,-1.68684623806244,0.669308381929608,0.811822922151039,451.365023612976
"AS",27,8,0.0493000761320207,0.653852071449861,18.1648992001945,1.68714588758016,2.97276628980257,0.638804700357674,18.2536479910003,1.65847630321634,2.95831277269201,-0.687605853776719,0.636031997339433,0.788083699023686,439.783236265182
"AS",28,4,0.0508580459124522,0.64681395508589,18.4040476156665,1.67502837419442,2.98847303313761,0.662357179157838,17.3211028194035,1.7166046200374,2.94438526990721,0.176297786196211,0.660264294669799,0.804557056305888,443.089280128479
"AS",29,4,0.050444278997057,0.627987365462519,18.8683375660655,1.63036514105066,2.9149361891276,0.663130551047557,17.5138094190795,1.71207486223918,3.01190898780333,-1.71239248528071,0.658464190819199,0.802441162496703,430.494031190872
"AS",30,4,0.052168022787422,0.64445978123825,18.387876867507,1.66897917094087,2.99110116933564,0.654309311751927,17.7551467542712,1.69920795584227,2.9850499538817,-0.389638409560841,0.653272186466431,0.79641000688945,427.920808076859
"AS",31,4,0.0493145939553923,0.621812046429126,18.9585891364701,1.61656256497068,2.84831321631005,0.683803009716097,17.0596150041176,1.77477795737404,3.10675240837543,-0.995939593328811,0.682170873565514,0.815664458429225,430.182698249817
"AS",32,8,0.0474355690576683,0.640527347708383,18.3946040164916,1.65659264387175,2.93564351543456,0.660857948245978,17.9822189744912,1.70492197836397,3.05857692412825,-2.00847898804416,0.655592398840516,0.799384343587768,438.563303947449
"AS",33,8,0.0498628019478999,0.636557226404558,18.531463831307,1.64764262691466,2.91396300322333,0.655806119752587,18.011370567368,1.69606818716511,2.99810610181072,-0.994457494350605,0.651987270224344,0.800529976697081,434.549784183502
"AS",34,8,0.05264682466994,0.650866387964547,18.1699337252824,1.68221075990375,2.91690662174808,0.659842237791693,17.9013077786549,1.70168710762865,3.05843576776455,-1.95738563850937,0.654281731305335,0.799791892660652,433.126076221466
"AS",35,4,0.0469629984835072,0.648853514754737,18.1452124564146,1.68060404863108,2.97599160823879,0.625441019687145,18.8386558476523,1.62518753056994,2.81336420329611,-1.59916817570526,0.620968954363935,0.776503729195039,428.203279256821
"AS",36,4,0.0500319634956706,0.640517432007685,18.4174696130446,1.65873944128209,2.93199886491211,0.627268773845144,18.6537379223649,1.63535847008188,2.88146001748832,-0.485684004806328,0.625668980332544,0.778106357979396,438.074070692062
"AS",37,4,0.0505046121942967,0.63024075137582,18.6799674223671,1.63564968655236,2.89079733272667,0.675450658892941,17.4049183394666,1.75151762483096,3.16002631711777,-1.17991515027947,0.673673214495342,0.808564194162187,423.483814001083
"AS",38,8,0.0482185984974419,0.653405986685003,18.159930856784,1.68706178762548,2.97357960368155,0.618670342875484,19.0049356963721,1.59442366974099,2.77559476352606,-2.08543965612744,0.606201297756381,0.777444746925909,419.717460155487
"AS",39,4,0.0465724287290102,0.652390670258792,18.1832812652919,1.68799766288113,3.02475659907344,0.593000226660302,19.2934875447586,1.56314458646102,2.74704093166392,-0.84219927825872,0.590283508794378,0.753699977100809,441.833888530731
"AS",40,4,0.0492446876976093,0.63212211619159,18.6065496708685,1.63895231350293,2.90220384516242,0.66787273029151,17.6810971427346,1.73278361185487,3.03996972394253,-1.0749682718623,0.666578897813317,0.798703173346671,449.745635986328
"AS",41,8,0.0497073927968226,0.634946424324313,18.5009381372025,1.64428124854566,2.86471959459317,0.652671045124885,18.2316736713659,1.68839622567437,3.01672797524789,-1.08626611319881,0.648817390741111,0.798058184797035,435.084161043167
"AS",42,8,0.0493631240141638,0.635346069920518,18.4257339257686,1.64319178828471,2.87641188207319,0.644169089278674,18.7185390410029,1.66342525129821,2.99168647068728,-1.53205631668466,0.638194498161362,0.792757424775268,428.215854644775
"AS",43,4,0.049459382424545,0.63233223947486,18.5702671666989,1.64064863612117,2.9078741579354,0.661231856418165,17.8940261441727,1.71581322413546,3.07365148328629,-0.777716782448993,0.659950825293934,0.80039571035011,441.068194389343
"AS",44,8,0.0478445160517304,0.639353207286238,18.4970674143444,1.65238098607103,2.86531906992449,0.642292593831792,18.2549875001165,1.66623973962951,2.95809569848544,-0.177851171209379,0.639415735805394,0.79164547057707,441.941557168961
"AS",45,8,0.049248872783287,0.630735465663204,18.514865755881,1.6358754250621,2.86256463853459,0.66580227706663,18.1312202673614,1.71584565184764,3.08859520618188,-1.46643469071913,0.659963678329467,0.807863175151651,439.718523740768
"AS",46,4,0.0509412030206168,0.637623590874525,18.4035209528279,1.65498134377909,2.9342211274904,0.647039743705846,18.3472156569256,1.67422537185576,2.98410402012871,-1.60378871185043,0.642847324097791,0.791478547906236,477.316762685776
"AS",47,8,0.0543119577454577,0.651823699754265,18.1192199113421,1.68454493370175,2.98026075428322,0.652108703629525,18.1730907107747,1.68225877665751,2.97142631704269,-1.77867211071532,0.646250250487987,0.796490336875612,469.472212314606
"AS",48,8,0.048271817026167,0.632748091638508,18.4339778116836,1.63818656730687,2.87512551774952,0.692418045133873,17.4349054669536,1.79577808284684,3.32665984968683,-0.49481239953352,0.689560901908275,0.825620683383516,476.174408197403
"AS",49,8,0.0482829684577466,0.656402427999057,17.9181400445243,1.69443103100867,3.01370565615722,0.612244527269999,19.4920354779569,1.58464942576069,2.77036228776966,-2.92646774532411,0.601328352027951,0.764369792293075,479.450323104858
"AS",50,8,0.0484991640579658,0.646638943433693,18.2706858003405,1.6709594362946,2.95555408210203,0.653990754680096,18.1050786919257,1.68781202202069,2.9825885277197,-1.54946551031535,0.64857423846203,0.798685032333424,471.183479309082
